Zip,YEAR,INCOME,NUMBER
91935,2010,"$15,000 to $29,999",246
91935,2010,"$30,000 to $44,999",136
91935,2010,"$45,000 to $59,999",281
91935,2010,"$60,000 to $74,999",317
91935,2010,"$75,000 to $99,999",296
91935,2010,"$100,000 to $124,999",368
91935,2010,"$125,000 to $149,999",301
91935,2010,"$150,000 to $199,999",505
91935,2010,"$200,000 or more",318
91941,2010,"Less than $15,000",716
91941,2010,"$15,000 to $29,999",1687
91941,2010,"$30,000 to $44,999",1831
91941,2010,"$45,000 to $59,999",1533
91941,2010,"$60,000 to $74,999",1298
91941,2010,"$75,000 to $99,999",2230
91941,2010,"$100,000 to $124,999",1231
91941,2010,"$125,000 to $149,999",845
91941,2010,"$150,000 to $199,999",835
91941,2010,"$200,000 or more",739
91942,2010,"Less than $15,000",2152
91942,2010,"$15,000 to $29,999",2560
91942,2010,"$30,000 to $44,999",2827
91942,2010,"$45,000 to $59,999",2074
91942,2010,"$60,000 to $74,999",1579
91942,2010,"$75,000 to $99,999",2361
91942,2010,"$100,000 to $124,999",1177
91942,2010,"$125,000 to $149,999",729
91942,2010,"$150,000 to $199,999",631
91942,2010,"$200,000 or more",248
91945,2010,"Less than $15,000",1082
91945,2010,"$15,000 to $29,999",1447
91945,2010,"$30,000 to $44,999",1157
91945,2010,"$45,000 to $59,999",1149
91945,2010,"$60,000 to $74,999",655
91945,2010,"$75,000 to $99,999",1482
91945,2010,"$100,000 to $124,999",817
91945,2010,"$125,000 to $149,999",348
91945,2010,"$150,000 to $199,999",179
91945,2010,"$200,000 or more",118
91948,2010,"Less than $15,000",17
91948,2010,"$15,000 to $29,999",12
91948,2010,"$30,000 to $44,999",21
91948,2010,"$45,000 to $59,999",38
91948,2010,"$60,000 to $74,999",12
91948,2010,"$75,000 to $99,999",19
91948,2010,"$100,000 to $124,999",8
91948,2010,"$125,000 to $149,999",8
91948,2010,"$150,000 to $199,999",6
91948,2010,"$200,000 or more",0
91950,2010,"Less than $15,000",2722
91950,2010,"$15,000 to $29,999",3680
91950,2010,"$30,000 to $44,999",2979
91950,2010,"$45,000 to $59,999",2327
91950,2010,"$60,000 to $74,999",1121
91950,2010,"$75,000 to $99,999",1534
91950,2010,"$100,000 to $124,999",738
91950,2010,"$125,000 to $149,999",459
91950,2010,"$150,000 to $199,999",201
91950,2010,"$200,000 or more",119
91962,2010,"Less than $15,000",83
91962,2010,"$15,000 to $29,999",66
91962,2010,"$30,000 to $44,999",101
91962,2010,"$45,000 to $59,999",170
91962,2010,"$60,000 to $74,999",65
91962,2010,"$75,000 to $99,999",88
91962,2010,"$100,000 to $124,999",50
91962,2010,"$125,000 to $149,999",37
91962,2010,"$150,000 to $199,999",28
91962,2010,"$200,000 or more",0
91963,2010,"Less than $15,000",51
91963,2010,"$15,000 to $29,999",49
91963,2010,"$30,000 to $44,999",51
